pitcher,pitch_type,firstx,firsty,secondx,secondy,finalx,finaly,hit_type,called_strike,foul,swinging_strike,ball,in_zone
Yamamoto,FC,588.0,423.0,567.0939026659642,510.5523603406841,567.0939026659642,510.5523603406841,false,True,False,False,False,True
Yamamoto,CB,588.0,423.0,609.9823153395072,471.1101917379935,620.47023443545,554.3830996343358,false,True,False,False,False,True
Yamamoto,FF,588.0,423.0,617.8548766083202,433.0906597897826,622.0456518778262,447.9581842269685,false,False,False,True,False,True
Yamamoto,FC,588.0,423.0,709.3758665065914,446.52779129601373,709.3758665065914,446.52779129601373,false,False,False,False,True,False
Yamamoto,FF,588.0,423.0,544.6522329275423,426.99512591863146,513.9175059159799,438.9544277641636,false,False,False,False,True,False
Yamamoto,FF,588.0,423.0,655.0485386055975,549.2577093491088,655.0485386055975,549.2577093491088,false,True,False,False,False,True
Yamamoto,FS,588.0,423.0,595.110776602145,485.39715569971673,593.0070956671627,565.433276945517,false,True,False,False,False,True
Yamamoto,CB,588.0,423.0,585.9345473660227,457.6665757752886,585.3714995074191,497.1305127845723,false,True,False,False,False,True
Yamamoto,FF,588.0,423.0,571.1350011988075,542.3449093811838,571.1350011988075,542.3449093811838,false,False,False,True,False,True
Yamamoto,FS,588.0,423.0,588.963165840113,508.37038027880345,581.3024119302343,599.3671904710206,false,False,False,True,False,False
